Model,Parameters,Accuracy,F1-Score,Log-Loss,Time
BERT-Base,lr2e5_ba8_gra4,0.4288,0.4183,1.0675,1118
BERT-Base,lr3e5_ba8_gra4,0.4257,0.4061,1.0676,1119
BERT-Base,lr5e5_ba8_gra4,0.4115,0.3815,1.0735,1117
RoBERT-Base,lr2e5_ba8_gra4,0.4586,0.4523,1.0461,1193
RoBERT-Base,lr3e5_ba8_gra4,0.4581,0.4547,1.0488,1193
RoBERT-Base,lr5e5_ba8_gra4,0.373,0.2905,1.0902,1193
RoBERT-Large,lr2e5_ba8_gra4,0.4032,0.404,1.0715,3467
RoBERT-Large,lr3e5_ba8_gra4,0.4056,0.4057,1.069,4204
RoBERT-Large,lr5e5_ba8_gra4,0.309,0.1574,1.1281,3468
DeBERT-Base,lr2e5_ba8_gra4,0.4588,0.4424,1.0457,2026
DeBERT-Base,lr3e5_ba8_gra4,0.4514,0.4497,1.0635,2027
DeBERT-Base,lr5e5_ba8_gra4,0.4147,0.4029,1.0776,2029
DeBERT-Large,lr2e5_ba8_gra4,0.4885,0.484,1.0184,5254
DeBERT-Large,lr3e5_ba8_gra4,0.4764,0.4741,1.0368,5255
DeBERT-Large,lr5e5_ba8_gra4,0.3491,0.1725,1.0987,5254
