Model,Connnection,Accuracy,F1-Score,Log-Loss,Time
CNN0,Standard CNN,0.4467,0.4201,1.0684,100.37
CNN0,Residual CNN,0.4605,0.4396,1.0497,104.16
CNN0,Residual + Dropout,0.4654,0.4554,1.0448,108.89
CNN1,Standard CNN,0.4527,0.4292,1.0738,102.79
CNN1,Residual CNN,0.4561,0.4229,1.0498,105.92
CNN1,Residual + Dropout,0.4698,0.4615,1.0443,113.94
CNN2,Standard CNN,0.4323,0.4166,1.075,106.7
CNN2,Residual CNN,0.452,0.4234,1.0601,107.01
CNN2,Residual + Dropout,0.4538,0.4309,1.0537,114.22
CNN3,Standard CNN,0.4228,0.3931,1.0835,121.12
CNN3,Residual CNN,0.446,0.4225,1.0598,110.51
CNN3,Residual + Dropout,0.4529,0.4365,1.0625,114.71
CNN4,Standard CNN,0.4034,0.3787,1.0904,121.54
CNN4,Residual CNN,0.4213,0.3836,1.0802,113.29
CNN4,Residual + Dropout,0.4292,0.4146,1.0781,117.05
CNN5,Standard CNN,0.3491,0.1725,1.0972,139.27
CNN5,Residual CNN,0.4204,0.3833,1.0738,127.66
CNN5,Residual + Dropout,0.4327,0.4151,1.0821,119.5
